year,quarter,department,courseNumber,courseCode,instructors,a,b,c,d,f,p,np,w,gpaAvg
2014-15,Summer1,EDUC,201,12100,"GUARINO, J.",30,6,1,0,0,0,0,0,3.8
2014-15,Summer1,EDUC,201,12120,"GIGUIERE, C.",37,1,0,0,0,0,0,0,3.93
2014-15,Summer1,EDUC,201,12130,"STONE, J.",26,6,1,0,0,0,0,0,3.71
2014-15,Summer1,EDUC,201,12135,"STONE, J.",19,10,0,0,0,0,0,0,3.6
2014-15,Summer1,EDUC,202,12140,"KANG, H.",26,10,0,0,0,0,0,0,3.74
2014-15,Summer1,EDUC,202,12150,"KANG, H.",31,7,0,0,0,0,0,0,3.75
2014-15,Summer1,EDUC,202,12160,"COLLINS, P.",32,1,0,0,0,0,0,0,3.97
2014-15,Summer1,EDUC,202,12165,"COLLINS, P.",29,1,0,0,0,0,0,0,3.97
2014-15,Summer1,EDUC,203,12170,"MICHENER, C.",36,0,0,0,0,0,0,0,3.98
2014-15,Summer1,EDUC,203,12180,"MICHENER, C.",28,2,0,0,0,0,0,0,3.91
2014-15,Summer1,EDUC,203,12190,"DUNLEAVY, T.",38,3,0,0,0,0,0,0,3.85
2014-15,Summer1,EDUC,203,12195,"DUNLEAVY, T.",25,11,0,0,0,0,0,0,3.67
2014-15,Summer1,EDUC,205,12200,"HERNANDEZ, D.",33,1,0,0,0,0,0,0,3.84
2014-15,Summer1,EDUC,205,12210,"HERNANDEZ, D.",27,1,0,0,0,0,0,0,3.96
2014-15,Summer1,EDUC,205,12220,"HANSEN, L.",45,1,0,0,0,0,0,0,3.97
2014-15,Summer1,EDUC,205,12225,"HANSEN, L.",28,8,0,0,0,0,0,0,3.75
2014-15,Summer1,EDUC,206,12230,"VAUGHN, S.",43,0,0,0,0,0,0,0,3.99
2014-15,Summer1,EDUC,206,12240,"BARRAZA LYONS, K.",37,2,0,0,0,0,0,0,3.94
2014-15,Summer1,EDUC,207,12250,"HENRY, V.",34,0,0,0,0,0,0,0,3.91
2014-15,Summer1,EDUC,207,12255,"HENRY, V.",28,0,0,0,0,0,0,0,3.94
2014-15,Summer1,EDUC,240,12260,"CHANDRASEKHAR, V.",34,3,0,0,0,0,0,0,3.9
2014-15,Summer1,EDUC,240,12270,"VELASTEGUI, J.",35,0,0,0,0,0,0,0,3.99
2014-15,Summer1,EDUC,240,12280,"VELASTEGUI, J.",31,0,0,0,0,0,0,0,4
2014-15,Summer1,EDUC,240,12290,"CHANDRASEKHAR, V.",40,0,0,0,0,0,0,0,3.99
2014-15,Summer1,ENGLISH,210,23510,"ABRAMS, B.",21,0,0,0,0,0,0,0,4
2014-15,Summer1,ENGLISH,210,23520,"GILMORE, P.",13,3,0,0,0,0,0,0,3.72
2014-15,Summer1,ENGLISH,210,23530,"ALEXANDER, J.",18,0,0,0,0,0,0,0,3.98
2014-15,Summer1,ENGLISH,210,23540,"SILVER, V.",22,0,0,0,0,0,0,0,3.91
2014-15,Summer2,ENGLISH,210,23550,"COLLINS, R.",20,0,0,0,0,0,0,0,3.94
2014-15,Summer2,ENGLISH,210,23560,"CHIAMPI, J.",22,0,0,0,0,0,0,0,3.78
2014-15,Summer2,ENGLISH,210,23570,"BARTLETT, J.",22,0,0,0,0,0,0,0,4
2014-15,Summer2,ENGLISH,210,23580,"WARMINSKI, A.",14,1,0,0,0,0,0,0,3.91
2014-15,Summer2,MGMT EP,209A,39260,"RICHEY, T.",25,18,0,0,0,0,0,0,3.53
2014-15,Summer2,MGMT EP,290,39452,"LANE, L.; FULLER, E.",39,4,0,0,0,0,0,0,3.82
2014-15,Summer2,MGMT FE,201A,39505,"GUYSE, J.",46,12,0,0,0,0,0,0,3.78
2014-15,Summer2,MGMT FE,203A,39521,"FAUREL, L.",27,24,4,1,0,0,0,0,3.34
2014-15,Summer2,MGMT FE,204B,39547,"NAVARRO, P.",41,14,0,0,0,0,0,0,3.65
2014-15,Summer2,MGMT FE,209B,39581,"RICHEY, T.",21,7,0,0,0,0,0,0,3.73
2014-15,Summer2,MGMT FE,210,39566,"POSTREL, S.",16,28,0,0,0,0,0,0,3.38
2014-15,Summer2,MGMT FE,251A,39634,"LETOURNEAU, D.",32,0,0,1,0,0,0,0,3.69
2014-15,Summer2,MGMT FE,290,39680,"HERNANDEZ, W.",7,6,0,0,0,0,0,0,3.54
2014-15,Summer2,MGMT FE,290,39683,"POSTREL, S.",15,5,0,0,0,0,0,0,3.72
2014-15,Summer2,MGMT HC,203B,39825,"KARUNANANTHAN, C.",16,14,2,0,0,0,0,0,3.48
2014-15,Summer2,MGMT HC,209A,39831,"LAKHANI, C.",14,17,2,0,0,0,0,0,3.3
2014-15,Summer2,MGMT HC,290,39659,"SANDMAN, M.",4,6,0,0,0,0,0,0,3.58
2014-15,Summer2,MGMT HC,290,39851,"VAN HORN, J.",9,5,0,0,0,0,0,0,3.64
2014-15,Summer2,MGMT HC,290,39940,"BATRA, R.",12,0,0,0,0,0,0,0,3.8
2014-15,Summer2,MGMT HC,290,39965,"POSTREL, S.",10,1,0,0,0,0,0,0,3.8
2014-15,Summer1,MPAC,200A,38250,"FLAIZ-WINDHAM, J.",20,7,2,1,0,0,0,0,3.53
2014-15,Summer2,MPAC,200B,38260,"WEAVER, C.; WANG, C.",25,6,0,0,0,0,0,0,3.7
2014-15,Summer2,MPAC,200C,38270,"FLAIZ-WINDHAM, J.; PRYJMAK, R.",19,7,5,0,0,0,0,0,3.41
2014-15,Summer1,MPAC,200D,38280,"LAW, B.; PRYJMAK, R.",16,14,1,0,0,0,0,0,3.51
2014-15,Fall,ANATOMY,227A,90220,"LYON, D.",22,0,0,0,0,0,0,0,4
2014-15,Fall,ANTHRO,202A,60700,"CHAVEZ, L.",10,0,0,0,0,0,0,0,4
2014-15,Fall,ANTHRO,211A,60717,"PETERSON, K.",10,0,0,0,0,0,0,0,4
2014-15,Fall,ANTHRO,230D,60725,"MARCUS, G.",14,0,0,0,0,0,0,0,4
2014-15,Fall,ANTHRO,240A,60735,"MAURER, W.",12,0,0,0,0,0,0,0,4
2014-15,Fall,ANTHRO,289,60750,"MONTOYA, M.",11,0,0,0,0,0,0,0,3.97
2014-15,Fall,ART,230,01634,"LEUNG, S.",10,0,0,0,0,0,0,0,4
2014-15,Fall,ART,230,01635,"COOLIDGE, M.",10,0,0,0,0,0,0,0,4
2014-15,Fall,BSEMD,211,08080,"HUGHES, B.",10,0,0,0,0,0,0,0,4
2014-15,Fall,BME,210,14400,"DIGMAN, M.",37,3,0,0,0,0,0,0,3.86
2014-15,Fall,BME,220,14430,"LOPOUR, B.; ALSAMRI, J.; MCCRIMMON, C.",14,16,0,0,0,0,0,0,3.47
2014-15,Fall,BME,230A,14440,"CHEN, Z.",41,23,1,0,1,0,0,0,3.56
2014-15,Fall,BME,261,14450,"BRODY, J.",19,0,0,0,0,0,0,0,4
2014-15,Fall,BME,290,14465,"LIU, C.",11,1,0,0,0,0,0,0,3.87
2014-15,Fall,CBEMS,240,15320,"SHI, F.",12,22,0,0,0,0,0,0,3.39
2014-15,Fall,CBEMS,249,15330,"RAGAN, R.",10,7,0,0,0,0,0,0,3.57
2014-15,Fall,ENGRMSE,256A,19955,"EARTHMAN, J.",11,16,0,0,0,0,0,1,3.39
2014-15,Fall,CHEM,200,41133,"VAN VRANKEN, D.",65,0,0,0,0,0,0,0,4
2014-15,Fall,CHEM,201,41135,"JARVO, E.",25,22,0,0,0,0,0,0,3.45
2014-15,Fall,CHEM,208,41150,"BURKE, K.",15,0,0,0,0,0,0,0,4
2014-15,Fall,CHEM,215,41160,"YANG, J.",8,8,0,0,0,0,0,0,3.41
2014-15,Fall,CHEM,216,41165,"EVANS, W.",11,20,0,0,0,0,0,0,3.34
2014-15,Fall,CHEM,223,41178,"LUPTAK, A.; SPITALE, R.",9,2,0,0,0,0,0,1,3.76
2014-15,Fall,CHEM,229A,41180,"FREITES CHIMAR, J.",7,12,0,0,0,0,0,0,3.37
2014-15,Fall,CHEM,230,41185,"FURCHE, F.",8,7,0,0,0,0,0,0,3.53
2014-15,Fall,CHEM,231A,41190,"ARDO, S.",13,12,0,0,0,0,0,0,3.47
2014-15,Fall,CHEM,280,41347,"VANDERWAL, C.",12,0,0,0,0,0,0,0,4
2014-15,Fall,CHEM,290,41368,"RYCHNOVSKY, S.",108,0,0,0,0,0,0,0,4
2014-15,Fall,CHEM,290,41371,"MURRAY, C.",51,0,0,0,0,0,0,0,4
2014-15,Fall,CHEM,290,41374,"YANG, J.",27,0,0,0,0,0,0,0,4
2014-15,Fall,CHEM,291,41506,"VANDERWAL, C.",11,0,0,0,0,0,0,0,4
2014-15,Fall,CHEM,292,41527,"VANDERWAL, C.",90,0,0,0,0,0,0,0,4
2014-15,Fall,ENGRCEE,220A,17300,"RECKER, W.",22,2,0,0,0,0,0,0,3.77
2014-15,Fall,ENGRCEE,247,17330,"LIU, H.",20,10,0,0,0,0,0,0,3.67
2014-15,Fall,ENGRCEE,250,17340,"SUN, L.",15,14,2,0,0,0,0,0,3.33
2014-15,Fall,ENGRCEE,262,17350,"ROWE, J.",7,4,0,0,0,0,0,0,3.58
2014-15,Fall,ENGRCEE,271,17355,"VRUGT, J.",16,9,1,0,0,0,0,0,3.5
2014-15,Fall,ENGRCEE,272,17360,"DETWILER, R.; JONES, T.",9,18,0,0,0,0,0,0,3.32
2014-15,Fall,ENGRCEE,276,17370,"SOROOSHIAN, S.; SARACHI, S.",22,7,0,0,0,0,0,0,3.72
2014-15,Fall,ENGRCEE,281,17375,"ZAREIAN, F.",13,7,4,1,0,0,0,0,3.24
2014-15,Fall,ENGRCEE,283,17390,"GAO, X.",72,12,0,0,0,0,0,0,3.81
2014-15,Fall,ENGRCEE,295,17405,"OLSON, B.",35,0,0,0,0,0,0,0,4
2014-15,Fall,ENGRCEE,295,17410,"LEMNITZER, A.",20,0,0,0,0,0,0,0,4
2014-15,Fall,ENGRCEE,298,17690,"GRANT, S.",15,21,0,0,0,0,0,0,3.44
2014-15,Fall,PSYCH,203A,68810,"IVERSON, G.",12,1,0,0,0,0,0,0,3.92
2014-15,Fall,PSYCH,205A,68820,"SABERI, K.",13,1,0,0,0,0,0,0,3.89
2014-15,Fall,PSYCH,234A,68850,"BATCHELDER, W.",11,0,0,0,0,0,0,0,4
2014-15,Fall,COM LIT,291,22920,"SCHWAB, G.",11,0,0,0,0,0,0,0,4
2014-15,Fall,COMPSCI,222,35240,"CAREY, M.",37,23,1,0,6,0,0,0,3.24
2014-15,Fall,COMPSCI,232,35250,"LEVORATO, M.",29,26,2,0,2,0,0,0,3.37
2014-15,Fall,COMPSCI,242,35260,"SCHERSON, I.",22,2,0,0,1,0,0,0,3.71
2014-15,Fall,COMPSCI,243,35270,"NICOLAU, A.",60,0,0,0,0,0,0,0,3.97
2014-15,Fall,COMPSCI,260,35320,"HIRSCHBERG, D.",12,25,0,0,0,0,0,0,3.34
2014-15,Fall,COMPSCI,271,35360,"KASK, K.",52,47,8,0,1,0,0,0,3.37
2014-15,Fall,COMPSCI,276,35375,"DECHTER, R.",11,2,0,0,1,0,0,0,3.53
2014-15,Fall,COMPSCI,284A,35380,"XIE, X.",15,6,0,0,0,0,0,0,3.71
2014-15,Fall,COMPSCI,295,35500,"MEHROTRA, S.",18,0,0,0,0,0,0,0,4
2014-15,Fall,CRM/LAW,C210,52400,"JENNESS, V.; PONTELL, H.",52,3,0,0,0,0,0,0,3.82
2014-15,Fall,CRM/LAW,C211,52405,"THOMPSON, W.",33,17,1,0,0,0,0,0,3.6
2014-15,Fall,CRM/LAW,C212,52410,"JESILOW, P.",32,20,3,0,0,0,0,1,3.52
2014-15,Fall,CRM/LAW,C217,52430,"SCHUELE, D.",62,1,0,0,0,0,0,0,3.96
2014-15,Fall,CRM/LAW,C219,52440,"JENNESS, V.",44,17,0,0,1,0,0,0,3.67
2014-15,Fall,CRM/LAW,C228,52460,"SUGIE, N.",12,4,0,0,0,0,0,0,3.73
2014-15,Fall,CRM/LAW,C239B,52470,"REITER, K.",13,2,0,0,0,0,0,0,3.79
2014-15,Fall,DANCE,225,02575,"NAUGLE, L.",12,1,0,0,0,0,0,0,3.95
2014-15,Fall,DANCE,231A,02580,"LYNCH, M.; DIEFENDERFER, D.; WANG, T.",10,0,0,0,0,0,0,0,3.91
2014-15,Fall,DANCE,261A,02620,"NAUGLE, L.",10,0,0,0,0,0,0,0,4
2014-15,Fall,DANCE,282,02640,"LIVINGSTON, L.",9,1,0,0,0,0,0,0,3.9
2014-15,Fall,DANCE,284,02650,"FISHER, J.",10,0,0,0,0,0,0,0,3.91
2014-15,Fall,DANCE,296,02800,"COREY, M.",10,1,0,0,0,0,0,0,3.88
2014-15,Fall,DEV BIO,203A,09364,"LANDER, A.",11,0,0,0,0,0,0,0,4
2014-15,Fall,DRAMA,201,03395,"BASSHAM, C.",10,0,0,0,0,0,0,0,3.88
2014-15,Fall,DRAMA,206,03450,"LOUI, A.; THOMPSON, P.; BASSHAM, C.",20,3,0,0,0,4,0,0,3.86
2014-15,Fall,DRAMA,219,03460,"BUSBY, D.",10,0,0,0,0,0,0,0,3.97
2014-15,Fall,DRAMA,240,03560,"LOUI, A.",10,0,0,0,0,0,0,0,4
2014-15,Fall,DRAMA,251A,03582,"PAGE, J.",17,3,0,0,0,0,0,0,3.82
2014-15,Fall,DRAMA,259,03604,"THOMPSON, P.",13,0,0,0,0,0,0,0,3.98
2014-15,Fall,DRAMA,259,03605,"GANIO, M.; HOOKER, M.",23,0,0,0,0,0,0,0,4
2014-15,Fall,EARTHSS,200,42605,"ZENDER, C.",8,6,0,1,0,0,0,0,3.32
2014-15,Fall,EARTHSS,212,42610,"PRIMEAU, F.",12,5,0,0,0,0,0,0,3.65
2014-15,Fall,EARTHSS,240,42620,"PRATHER, M.",7,8,0,0,0,0,0,0,3.41
2014-15,Fall,ECO EVO,207,09720,"CAMPBELL, D.",24,4,1,0,0,0,0,0,3.74
2014-15,Fall,ECO EVO,208,09730,"AZIZI, E.; BRADLEY, T.",10,1,0,0,0,0,0,0,3.91
2014-15,Fall,ECO EVO,399,09990,"HAWKINS, B.",12,0,0,0,0,0,0,0,4
2014-15,Fall,ECON,202,62605,"POIRIER, D.",6,6,0,0,0,0,0,0,3.53
2014-15,Fall,ECON,203A,62610,"KOPYLOV, I.",12,9,0,0,0,0,0,0,3.61
2014-15,Fall,ECON,210A,62620,"SKAPERDAS, S.",17,12,0,0,0,0,0,1,3.56
2014-15,Fall,ECON,210D,62625,"ROCHETEAU, G.",5,13,0,1,0,0,0,1,3.17
2014-15,Fall,ECON,220A,62630,"POIRIER, D.",18,8,0,0,0,0,0,0,3.68
2014-15,Fall,ECON,241A,62650,"CHEN, J.",11,1,0,0,0,0,0,0,3.77
2014-15,Fall,ECON,245,62660,"BITLER, M.",11,4,0,0,0,0,0,0,3.69
2014-15,Fall,ECON,251A,62670,"CLARK, D.",10,1,0,0,0,0,0,0,3.83
2014-15,Fall,EDUC,222,12315,"BAILEY, D.",11,2,0,0,0,0,0,0,3.87
2014-15,Fall,EDUC,261,12320,"FARKAS, G.",12,0,0,0,0,0,0,0,3.83
2014-15,Fall,EDUC,288A,12360,"ROSALES RUEDA, M.",11,2,0,0,0,0,0,0,3.69
2014-15,Fall,EDUC,298,12601,"ECCLES, J.",13,0,0,0,0,0,0,0,4
2014-15,Fall,EDUC,302,12706,"VAUGHN, S.",46,0,0,0,0,0,0,0,4
2014-15,Fall,EDUC,302,12707,"VAUGHN, S.",27,0,0,0,0,0,0,0,4
2014-15,Fall,EDUC,302,12708,"VAUGHN, S.",25,0,0,0,0,0,0,0,4
2014-15,Fall,EDUC,305,12720,"VAN ES, E.",35,12,0,0,0,0,0,0,3.72
2014-15,Fall,EDUC,305,12722,"VAN ES, E.",49,3,0,0,0,0,0,0,3.87
2014-15,Fall,EDUC,322A,12776,"HENRY, V.",27,2,1,1,0,0,0,1,3.69
2014-15,Fall,EDUC,322A,12780,"STONE, J.",37,1,0,0,0,0,0,0,3.95
2014-15,Fall,EDUC,326,12795,"GUILFOYLE, S.",29,1,1,0,0,0,0,1,3.86
2014-15,Fall,EDUC,326,12803,"GUILFOYLE, S.",32,6,0,0,0,0,0,0,3.78
2014-15,Fall,EDUC,329,12812,"HANSEN, L.",32,0,0,0,0,0,0,1,4
2014-15,Fall,EDUC,329,12815,"GUARINO, J.",36,2,0,0,0,0,0,0,3.92
2014-15,Fall,EDUC,337,12834,"BARON, B.",25,3,0,0,0,0,0,0,3.88
2014-15,Fall,EDUC,338,12840,"MOONEY, C.",22,3,0,0,0,0,0,0,3.87
2014-15,Fall,EDUC,340,12855,"HRUBY, J.",11,1,0,0,0,0,0,0,3.89
2014-15,Fall,EDUC,341,12860,"KANG, H.",18,6,0,0,0,0,0,0,3.74
2014-15,Fall,EDUC,345,12875,"GUARINO, J.",26,0,0,0,0,0,0,1,3.97
2014-15,Fall,EDUC,345,12876,"GUARINO, J.",33,1,0,0,0,0,0,0,3.94
2014-15,Fall,EDUC,346,12878,"LAWRENCE, J.",44,3,0,0,0,0,0,0,3.92
2014-15,Fall,EDUC,346,12880,"LAWRENCE, J.",52,0,0,1,0,0,0,0,3.94
2014-15,Fall,EDUC,347,12885,"SENGUPTA-IRVIN, T.",40,3,0,0,0,0,0,0,3.92
2014-15,Fall,EDUC,347,12887,"SENGUPTA-IRVIN, T.",48,1,0,0,0,0,0,0,3.96
2014-15,Fall,EECS,213,18410,"BAGHERZADEH, N.; SALAMAT, R.",30,44,3,0,0,0,0,0,3.39
2014-15,Fall,EECS,215,18420,"MARKOPOULOU, A.",50,55,0,0,0,0,0,0,3.45
2014-15,Fall,EECS,221,18425,"CHOU, P.",48,23,0,0,0,0,0,0,3.61
2014-15,Fall,EECS,228,18440,"DEMSKY, B.",11,0,0,0,0,0,0,0,4
2014-15,Fall,EECS,240,18445,"JAFARKHANI, H.; DEMIRTAS, A.",23,20,3,0,0,0,0,0,3.42
2014-15,Fall,EECS,241A,18450,"AYANOGLU, E.; DAVASLIOGLU, K.",29,16,0,0,0,0,0,1,3.64
2014-15,Fall,EECS,248A,18455,"LEVORATO, M.",14,28,1,0,0,0,0,0,3.32
2014-15,Fall,EECS,250,18460,"EBRAHIMI, P.",22,13,1,0,0,0,0,0,3.53
2014-15,Fall,EECS,270A,18465,"HEYDARI, P.; KARIMI BIDHEND, A.",7,40,2,0,0,0,0,2,3.13
2014-15,Fall,EECS,270D,18470,"WANG, Z.",20,7,0,0,1,0,0,0,3.52
2014-15,Fall,EECS,275B,18475,"KLEINFELDER, S.",23,0,0,0,0,0,0,0,4
2014-15,Fall,EECS,277A,18480,"LEE, C.",11,1,1,0,1,0,0,0,3.48
2014-15,Fall,EECS,278,18485,"SHKEL, A.",9,7,0,0,1,0,0,3,3.32
2014-15,Fall,EECS,299,18968,"LI, G.",9,1,0,0,0,0,0,0,3.87
2014-15,Fall,ENGLISH,210,23800,"ALLEN, E.; LUPTON, J.",10,0,0,0,0,0,0,0,3.94
2014-15,Fall,ENGLISH,210,23803,"SZALAY, M.",11,0,0,0,0,0,0,0,4
2014-15,Fall,ENGLISH,398,23975,"GROSS, D.",13,0,0,0,0,0,0,0,3.98
2014-15,Fall,ENGLISH,398,23977,"QUEEN, B.",12,0,0,0,0,0,0,0,4
2014-15,Fall,EPIDEM,200,91605,"ANTON-CULVER, H.; TAYLOR, T.",7,3,0,0,0,0,0,0,3.7
2014-15,Fall,EPIDEM,275,91651,"ZIOGAS, A.",10,0,0,0,0,0,0,0,4
2014-15,Fall,EPIDEM,275,91653,"ANTON-CULVER, H.; ZIOGAS, A.",11,0,0,0,0,0,0,0,4
2014-15,Fall,MGMT EP,202,39214,"BARRON, L.",27,15,1,0,0,0,0,0,3.51
2014-15,Fall,MGMT EP,204A,39231,"DANIEL, K.",26,17,0,0,0,0,0,0,3.58
2014-15,Fall,MGMT EP,207,39248,"DEWAN, S.",34,8,0,0,0,0,0,0,3.71
2014-15,Fall,MGMT EP,208,39254,"MURPHY, K.",21,22,0,0,0,0,0,0,3.43
2014-15,Fall,MGMT FE,202,39533,"TRAPIDO, D.",18,21,0,0,0,0,0,0,3.52
2014-15,Fall,MGMT FE,202,39534,"TRAPIDO, D.",19,23,0,0,0,0,0,0,3.53
2014-15,Fall,MGMT FE,204A,39538,"JACOBSON, M.",18,17,3,0,0,0,0,0,3.38
2014-15,Fall,MGMT FE,204A,39543,"JACOBSON, M.",19,21,1,0,0,0,0,0,3.39
2014-15,Fall,MGMT FE,204B,39547,"NAVARRO, P.",34,15,0,0,0,0,0,0,3.66
2014-15,Fall,MGMT FE,205,39599,"CURRIM, I.",56,0,0,0,0,0,0,0,3.8
2014-15,Fall,MGMT FE,206,39567,"DANIEL, K.",32,17,0,0,0,0,0,0,3.62
2014-15,Fall,MGMT FE,207,39553,"SHIVENDU, S.",47,8,0,0,0,0,0,0,3.79
2014-15,Fall,MGMT FE,208,39554,"SO, K.",18,21,0,0,0,0,0,0,3.55
2014-15,Fall,MGMT FE,208,39558,"SO, K.",20,22,0,0,0,0,0,0,3.48
2014-15,Fall,MGMT FE,209A,39559,"SCHWARZ, C.",19,19,1,0,1,0,0,0,3.38
2014-15,Fall,MGMT FE,209A,39562,"SCHWARZ, C.",20,22,0,0,0,0,0,0,3.47
2014-15,Fall,MGMT FE,214,39569,"SCHRANK, G.",18,0,0,0,0,0,0,0,3.92
2014-15,Fall,MGMT FE,220,39598,"BEENEN, G.",13,2,0,0,0,0,0,0,3.79
2014-15,Fall,MGMT FE,252A,39624,"KARTALIJA, M.",21,0,0,0,0,0,0,0,3.87
2014-15,Fall,MGMT FE,290,39583,"LAKHANI, C.",15,8,0,0,0,0,0,0,3.63
2014-15,Fall,MGMT FE,290,39594,"SOMMER, S.",28,7,0,0,0,0,0,0,3.71
2014-15,Fall,MGMT FE,290,39595,"WEST, J.",10,15,0,0,0,0,0,0,3.32
2014-15,Fall,MGMT HC,201B,39813,"KELLER, L.",19,12,0,0,0,0,0,0,3.63
2014-15,Fall,MGMT HC,202,39814,"BARRON, L.",18,15,0,0,0,0,0,0,3.5
2014-15,Fall,MGMT HC,205,39839,"CURRIM, I.",33,0,0,0,0,0,0,0,3.81
2014-15,Fall,MGMT HC,209B,39879,"RICHEY, T.",20,9,0,0,0,0,0,0,3.68
2014-15,Fall,HISTORY,200A,27300,"WASSERSTROM, J.",10,0,0,0,0,0,0,0,3.76
2014-15,Fall,HISTORY,202,27310,"BLOCK, S.",7,3,0,0,0,0,0,0,3.64
2014-15,Fall,IN4MATX,201,37300,"HAYES, G.",11,0,0,0,0,0,0,0,3.84
2014-15,Fall,IN4MATX,209S,37310,"CHEN, Y.",43,3,1,0,0,0,0,0,3.91
2014-15,Fall,IN4MATX,211,37320,"JONES, J.",45,1,0,0,0,0,0,0,3.95
2014-15,Fall,IN4MATX,231,37340,"KOBSA, A.",19,9,0,0,0,0,0,0,3.67
2014-15,Fall,IN4MATX,233,37350,"REDMILES, D.",25,0,0,0,0,0,0,0,3.89
2014-15,Fall,IN4MATX,261,37380,"BOWKER, G.",40,5,0,0,0,0,0,0,3.86
2014-15,Fall,MGMTMBA,201A,38505,"EPPEL, T.",24,33,0,0,1,0,0,0,3.35
2014-15,Fall,MGMTMBA,201A,38506,"EPPEL, T.",26,26,1,0,0,0,0,0,3.41
2014-15,Fall,MGMTMBA,203A,38520,"NEKRASOV, A.",29,31,0,0,0,0,0,0,3.6
2014-15,Fall,MGMTMBA,203A,38521,"NEKRASOV, A.",29,28,0,0,0,0,0,0,3.64
2014-15,Fall,MGMTMBA,204B,38535,"NAVARRO, P.",22,9,0,0,0,0,0,0,3.69
2014-15,Fall,MGMTMBA,205,38540,"HEISLEY, D.",54,8,0,0,0,0,0,0,3.75
2014-15,Fall,MGMTMBA,205,38541,"HEISLEY, D.",48,8,0,0,0,0,0,0,3.78
2014-15,Fall,MGMTMBA,209A,38560,"ZHENG, L.",29,33,0,0,0,0,0,0,3.56
2014-15,Fall,MGMTMBA,209A,38561,"ZHENG, L.",25,30,0,0,0,0,0,0,3.55
2014-15,Fall,MGMTMBA,228,38594,"HERNANDEZ, W.",13,27,0,0,0,0,0,0,3.41
2014-15,Fall,MGMTMBA,231A,38590,"FAUREL, L.",10,0,0,0,0,0,0,0,3.94
2014-15,Fall,MGMTMBA,231B,38592,"NEKRASOV, A.",19,1,0,0,0,0,0,0,3.85
2014-15,Fall,MGMTMBA,243,38596,"NARASIMHAN, K.",16,3,0,0,0,0,0,0,3.78
2014-15,Fall,MGMTMBA,244,38599,"SCHWARZ, C.",39,6,0,0,0,0,0,0,3.79
2014-15,Fall,MGMTMBA,251A,38629,"LETOURNEAU, D.",13,1,0,0,0,0,0,0,3.78
2014-15,Fall,MGMTMBA,256,38633,"VENKATESH, A.; SALINGER, L.",33,1,0,0,0,0,0,0,3.96
2014-15,Fall,MGMTMBA,279,38614,"DEWAN, S.",23,0,0,0,0,0,0,0,3.83
2014-15,Fall,MGMTMBA,282,38617,"TURNER, J.",25,3,0,0,0,0,0,0,3.82
2014-15,Fall,MGMTMBA,290,38621,"LANE, L.",32,0,0,0,0,0,0,0,4
2014-15,Fall,MGMTMBA,298,39153,"PILAFIDIS, E.",26,0,0,0,0,0,0,0,3.89
2014-15,Fall,MGMTMBA,299,38995,"SHIVENDU, S.",10,0,0,0,0,0,0,0,3.97
2014-15,Fall,MPAC,231A,38459,"FAUREL, L.",30,9,0,0,0,0,0,0,3.72
2014-15,Fall,MPAC,231A,38460,"FAUREL, L.",31,9,0,0,0,0,0,0,3.72
2014-15,Fall,MPAC,235,38463,"WEAVER, C.",35,4,0,0,0,0,0,0,3.87
2014-15,Fall,MPAC,235,38464,"WEAVER, C.",36,3,0,0,0,0,0,0,3.89
2014-15,Fall,MPAC,238,38598,"JUERGENS, M.",27,12,0,0,0,0,0,0,3.61
2014-15,Fall,MPAC,238,38601,"JUERGENS, M.",29,11,0,0,1,0,0,0,3.55
2014-15,Fall,MPAC,291,38606,"FRANKE, N.",39,0,0,0,0,0,0,0,3.79
2014-15,Fall,MPAC,291,38611,"FRANKE, N.",38,1,0,0,0,0,0,0,3.84
2014-15,Fall,MATH,205A,45000,"LI, S.; XU, H.",15,9,1,1,0,0,0,1,3.5
2014-15,Fall,MATH,206A,45010,"ISIK, M.; YU, M.",15,7,0,0,0,0,0,1,3.71
2014-15,Fall,MATH,210A,45020,"SCHECHTER, M.",17,11,0,0,0,0,0,0,3.55
2014-15,Fall,MATH,220A,45040,"GORODETSKI, A.",16,11,0,0,0,0,0,1,3.56
2014-15,Fall,MATH,225A,45042,"NIE, Q.",9,0,0,0,0,0,0,1,3.93
2014-15,Fall,MATH,227A,45060,"WAN, F.",9,3,0,0,0,0,0,0,3.78
2014-15,Fall,MATH,230A,45070,"KIM, C.",10,12,1,0,0,0,0,0,3.42
2014-15,Fall,MATH,233A,45080,"BARANOVSKY, V.",11,0,0,0,0,0,0,0,4
2014-15,Fall,MATH,290A,45150,"SCHECHTER, M.",11,0,0,0,0,0,0,0,3.95
2014-15,Fall,ENGRMAE,200A,19510,"JABBARI, F.; SUBIRATS SOLER, M.",36,29,0,0,0,0,0,0,3.56
2014-15,Fall,ENGRMAE,216,19515,"GAMERO CASTANO, M.",10,8,0,0,0,0,0,0,3.56
2014-15,Fall,ENGRMAE,230A,19520,"ELGHOBASHI, S.",14,5,4,0,0,0,0,1,3.44
2014-15,Fall,ENGRMAE,238,19535,"DUNN-RANKIN, D.",13,6,0,0,0,0,0,0,3.67
2014-15,Fall,ENGRMAE,245,19540,"MCCARTHY, J.",27,0,0,0,0,0,0,0,4
2014-15,Fall,ENGRMAE,247,19545,"SHKEL, A.",7,11,0,0,0,0,0,0,3.46
